UF;Zona;Partido;Gênero;Grau de escolaridade;Faixa etária;Quantitativo;Porcentagem (%);qt_nome_social;qt_deficientes;Data de carga
RS;1;AVANTE;FEMININO;LÊ E ESCREVE;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;SUPERIOR COMPLETO;25 a 34 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;AVANTE;FEMININO;SUPERIOR COMPLETO;35 a 44 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;25 a 34 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;2;0,5;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO MÉDIO COMPLETO;25 a 34 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO MÉDIO COMPLETO;35 a 44 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO MÉDIO COMPLETO;45 a 59 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;SUPERIOR COMPLETO;25 a 34 anos;2;0,5;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;AVANTE;MASCULINO;SUPERIOR INCOMPLETO;35 a 44 anos;2;1;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ANALFABETO;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;1;0,0667;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;2;0,1333;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;6;0,4;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;3;0,2;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;3;0,2;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;1;0,1111;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;4;0,4444;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;1;0,1111;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;3;0,3333;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;35 a 44 anos;4;0,1333;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;45 a 59 anos;10;0,3333;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;60 a 69 anos;9;0,3;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;70 a 79 anos;5;0,1667;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;Superior a 79 anos;2;0,0667;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;2;0,0952;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;5;0,2381;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;4;0,1905;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;60 a 69 anos;5;0,2381;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;70 a 79 anos;5;0,2381;0;1;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;LÊ E ESCREVE;70 a 79 anos;3;1;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;NÃO INFORMADO;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR COMPLETO;25 a 34 anos;1;0,0313;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR COMPLETO;35 a 44 anos;4;0,125;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR COMPLETO;45 a 59 anos;7;0,2188;0;1;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR COMPLETO;60 a 69 anos;9;0,2813;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR COMPLETO;70 a 79 anos;11;0,3438;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;25 a 34 anos;1;0,0625;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;35 a 44 anos;5;0,3125;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;45 a 59 anos;4;0,25;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;60 a 69 anos;5;0,3125;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;70 a 79 anos;1;0,0625;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;7;0,4667;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;3;0,2;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;3;0,2;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;2;0,1333;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;1;0,0833;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;6;0,5;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;4;0,3333;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;1;0,0833;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;35 a 44 anos;2;0,0714;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;45 a 59 anos;11;0,3929;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;60 a 69 anos;9;0,3214;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;70 a 79 anos;4;0,1429;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;Superior a 79 anos;2;0,0714;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;1;0,0435;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;11;0,4783;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;5;0,2174;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;60 a 69 anos;4;0,1739;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;70 a 79 anos;2;0,087;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;25 a 34 anos;1;0,0323;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;3;0,0968;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;10;0,3226;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;7;0,2258;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;8;0,2581;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;Superior a 79 anos;2;0,0645;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;2;0,087;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;35 a 44 anos;5;0,2174;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;45 a 59 anos;7;0,3043;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;60 a 69 anos;7;0,3043;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;70 a 79 anos;1;0,0435;0;0;2024-10-04 18:04:53
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;Superior a 79 anos;1;0,0435;0;0;2024-10-04 18:04:53
RS;1;DC;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;DC;FEMININO;ENSINO MÉDIO INCOMPLETO;70 a 79 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;DC;FEMININO;SUPERIOR COMPLETO;35 a 44 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;DC;FEMININO;SUPERIOR COMPLETO;70 a 79 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;DC;MASCULINO;ENSINO MÉDIO COMPLETO;45 a 59 anos;2;0,5;0;0;2024-10-04 18:04:53
RS;1;DC;MASCULINO;ENSINO MÉDIO COMPLETO;60 a 69 anos;2;0,5;0;0;2024-10-04 18:04:53
RS;1;DC;MASCULINO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;DC;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;2;0,4;0;0;2024-10-04 18:04:53
RS;1;DC;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;3;0,6;0;0;2024-10-04 18:04:53
RS;1;DC;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ANALFABETO;45 a 59 anos;2;1;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;25 a 34 anos;2;0,0345;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;2;0,0345;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;11;0,1897;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;16;0,2759;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;11;0,1897;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;16;0,2759;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;25 a 34 anos;1;0,0128;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;8;0,1026;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;16;0,2051;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;16;0,2051;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;22;0,2821;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;15;0,1923;0;1;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO COMPLETO;25 a 34 anos;3;0,0143;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO COMPLETO;35 a 44 anos;22;0,1048;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO COMPLETO;45 a 59 anos;54;0,2571;0;1;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO COMPLETO;60 a 69 anos;72;0,3429;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO COMPLETO;70 a 79 anos;36;0,1714;0;1;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO COMPLETO;Superior a 79 anos;23;0,1095;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;21 a 24 anos;1;0,0139;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;5;0,0694;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;12;0,1667;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;18;0,25;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;60 a 69 anos;21;0,2917;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;70 a 79 anos;11;0,1528;0;1;2024-10-04 18:04:53
RS;1;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;Superior a 79 anos;4;0,0556;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;LÊ E ESCREVE;60 a 69 anos;1;0,0909;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;LÊ E ESCREVE;70 a 79 anos;3;0,2727;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;LÊ E ESCREVE;Superior a 79 anos;7;0,6364;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR COMPLETO;25 a 34 anos;13;0,0498;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR COMPLETO;35 a 44 anos;35;0,1341;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR COMPLETO;45 a 59 anos;59;0,2261;0;2;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR COMPLETO;60 a 69 anos;67;0,2567;0;1;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR COMPLETO;70 a 79 anos;54;0,2069;0;3;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR COMPLETO;Superior a 79 anos;33;0,1264;0;1;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR INCOMPLETO;21 a 24 anos;1;0,0084;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR INCOMPLETO;25 a 34 anos;7;0,0588;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR INCOMPLETO;35 a 44 anos;23;0,1933;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR INCOMPLETO;45 a 59 anos;28;0,2353;0;0;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR INCOMPLETO;60 a 69 anos;39;0,3277;0;1;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR INCOMPLETO;70 a 79 anos;18;0,1513;0;1;2024-10-04 18:04:53
RS;1;MDB;FEMININO;SUPERIOR INCOMPLETO;Superior a 79 anos;3;0,0252;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;3;0,0577;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;12;0,2308;0;1;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;21;0,4038;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;11;0,2115;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;5;0,0962;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;25 a 34 anos;5;0,0658;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;12;0,1579;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;15;0,1974;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;18;0,2368;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;16;0,2105;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;10;0,1316;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;21 a 24 anos;1;0,007;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;25 a 34 anos;6;0,042;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;35 a 44 anos;27;0,1888;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;45 a 59 anos;35;0,2448;0;1;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;60 a 69 anos;45;0,3147;0;1;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;70 a 79 anos;24;0,1678;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;Superior a 79 anos;5;0,035;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;8;0,0964;0;1;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;25;0,3012;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;25;0,3012;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO INCOMPLETO;60 a 69 anos;16;0,1928;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO INCOMPLETO;70 a 79 anos;5;0,0602;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;ENSINO MÉDIO INCOMPLETO;Superior a 79 anos;4;0,0482;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;LÊ E ESCREVE;60 a 69 anos;1;0,1667;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;LÊ E ESCREVE;70 a 79 anos;3;0,5;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;LÊ E ESCREVE;Superior a 79 anos;2;0,3333;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR COMPLETO;25 a 34 anos;6;0,0287;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;26;0,1244;0;1;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;38;0,1818;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;58;0,2775;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;55;0,2632;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR COMPLETO;Superior a 79 anos;26;0,1244;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;6;0,0496;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR INCOMPLETO;35 a 44 anos;21;0,1736;0;1;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR INCOMPLETO;45 a 59 anos;27;0,2231;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR INCOMPLETO;60 a 69 anos;44;0,3636;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR INCOMPLETO;70 a 79 anos;18;0,1488;0;0;2024-10-04 18:04:53
RS;1;MDB;MASCULINO;SUPERIOR INCOMPLETO;Superior a 79 anos;5;0,0413;0;0;2024-10-04 18:04:53
RS;1;MOBILIZA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;1;1;0;0;2024-10-04 18:04:53
